CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.1,5.7,121
Bhubaneswar,2,4.6,3.2,251
Bhubaneswar,3,4.1,6.0,948
Bhubaneswar,4,3.1,1.8,413
Bhubaneswar,5,3.4,3.0,76
Cuttack,6,1.3,4.2,86
Cuttack,7,3.4,1.9,239
Cuttack,8,1.4,7.8,633
Cuttack,9,1.3,9.5,910
Cuttack,10,3.3,2.3,358
Kolkata,11,1.6,2.1,374
Kolkata,12,4.9,6.4,448
Kolkata,13,4.0,7.7,770
Kolkata,14,5.0,6.1,735
Kolkata,15,3.6,2.7,637
Visakhapatnam,16,4.0,4.6,454
Visakhapatnam,17,3.2,8.0,276
Visakhapatnam,18,2.6,7.1,313
Visakhapatnam,19,3.8,7.0,980
Visakhapatnam,20,2.6,4.8,715
