CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.3,2.9,137
Bhubaneswar,2,4.8,2.6,277
Bhubaneswar,3,4.4,1.7,669
Bhubaneswar,4,3.5,6.5,210
Bhubaneswar,5,2.9,8.8,474
Cuttack,6,3.6,8.0,537
Cuttack,7,1.8,6.8,676
Cuttack,8,4.2,4.7,410
Cuttack,9,2.2,7.2,496
Cuttack,10,4.8,3.6,30
Kolkata,11,1.3,7.7,723
Kolkata,12,1.2,8.4,961
Kolkata,13,3.8,6.7,322
Kolkata,14,3.8,7.2,538
Kolkata,15,2.6,3.1,175
Visakhapatnam,16,4.9,9.6,93
Visakhapatnam,17,4.4,8.8,518
Visakhapatnam,18,1.8,3.6,725
Visakhapatnam,19,2.1,8.4,498
Visakhapatnam,20,4.2,8.3,580
