CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.5,2.2,690
Bhubaneswar,2,2.6,5.7,390
Bhubaneswar,3,4.4,3.1,133
Bhubaneswar,4,1.7,8.2,279
Bhubaneswar,5,1.1,2.1,541
Cuttack,6,1.6,4.1,678
Cuttack,7,3.1,6.9,250
Cuttack,8,2.4,1.6,180
Cuttack,9,4.5,8.9,898
Cuttack,10,1.9,4.5,467
Kolkata,11,3.1,2.1,643
Kolkata,12,2.5,2.9,825
Kolkata,13,3.7,9.8,678
Kolkata,14,2.8,4.9,143
Kolkata,15,4.3,4.4,530
Visakhapatnam,16,4.2,8.7,544
Visakhapatnam,17,1.4,9.8,83
Visakhapatnam,18,2.0,9.4,737
Visakhapatnam,19,4.5,2.9,903
Visakhapatnam,20,4.1,2.0,14
