CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.0,8.8,908
Bhubaneswar,2,1.4,9.9,194
Bhubaneswar,3,3.4,6.3,359
Bhubaneswar,4,3.3,3.0,486
Bhubaneswar,5,3.1,9.3,23
Cuttack,6,1.3,8.3,854
Cuttack,7,4.4,7.8,916
Cuttack,8,3.3,2.6,881
Cuttack,9,3.5,6.0,214
Cuttack,10,1.2,8.0,792
Kolkata,11,3.7,2.4,531
Kolkata,12,4.8,1.9,403
Kolkata,13,4.0,1.8,277
Kolkata,14,4.2,8.9,714
Kolkata,15,1.9,5.0,401
Visakhapatnam,16,2.1,9.9,548
Visakhapatnam,17,4.8,2.5,322
Visakhapatnam,18,1.2,9.1,79
Visakhapatnam,19,4.4,8.1,324
Visakhapatnam,20,2.4,4.9,611
