CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.6,3.2,438
Bhubaneswar,2,2.3,9.8,17
Bhubaneswar,3,1.2,9.0,760
Bhubaneswar,4,3.7,2.3,997
Bhubaneswar,5,4.0,6.4,593
Cuttack,6,1.4,5.2,653
Cuttack,7,2.3,8.7,329
Cuttack,8,1.9,1.9,319
Cuttack,9,2.5,5.9,970
Cuttack,10,2.1,3.4,86
Kolkata,11,5.0,5.7,805
Kolkata,12,3.8,8.1,846
Kolkata,13,3.2,7.7,979
Kolkata,14,3.1,4.0,803
Kolkata,15,2.9,6.3,580
Visakhapatnam,16,1.0,6.7,457
Visakhapatnam,17,4.9,8.3,305
Visakhapatnam,18,1.6,1.2,481
Visakhapatnam,19,3.1,1.3,948
Visakhapatnam,20,3.8,9.5,413
