CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.7,7.0,334
Bhubaneswar,2,4.7,7.6,987
Bhubaneswar,3,2.4,9.1,488
Bhubaneswar,4,1.8,4.8,379
Bhubaneswar,5,2.7,3.6,720
Cuttack,6,4.1,9.8,157
Cuttack,7,3.5,5.4,768
Cuttack,8,3.4,1.2,551
Cuttack,9,2.1,4.2,818
Cuttack,10,2.8,6.4,149
Kolkata,11,2.2,8.4,983
Kolkata,12,4.1,1.9,69
Kolkata,13,1.2,3.2,786
Kolkata,14,4.2,7.3,510
Kolkata,15,1.2,9.0,951
Visakhapatnam,16,3.2,6.3,547
Visakhapatnam,17,2.9,8.8,542
Visakhapatnam,18,1.7,2.0,530
Visakhapatnam,19,1.3,3.1,404
Visakhapatnam,20,3.4,7.1,805
