CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.6,8.0,417
Bhubaneswar,2,4.2,1.7,331
Bhubaneswar,3,2.4,9.9,393
Bhubaneswar,4,1.2,7.1,521
Bhubaneswar,5,1.9,7.8,27
Cuttack,6,3.6,2.3,32
Cuttack,7,1.5,3.3,276
Cuttack,8,2.9,7.5,67
Cuttack,9,1.1,9.7,971
Cuttack,10,4.3,8.3,111
Kolkata,11,1.6,4.2,851
Kolkata,12,2.4,4.0,287
Kolkata,13,3.3,5.8,364
Kolkata,14,2.7,4.1,713
Kolkata,15,3.0,5.9,267
Visakhapatnam,16,1.6,8.8,39
Visakhapatnam,17,4.1,9.8,190
Visakhapatnam,18,2.9,7.5,819
Visakhapatnam,19,4.1,6.2,522
Visakhapatnam,20,4.6,3.3,634
