CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.1,3.2,649
Bhubaneswar,2,3.8,1.3,30
Bhubaneswar,3,4.8,8.4,189
Bhubaneswar,4,4.9,7.7,363
Bhubaneswar,5,4.3,9.2,101
Cuttack,6,4.8,3.6,761
Cuttack,7,4.5,8.2,201
Cuttack,8,4.6,1.0,295
Cuttack,9,4.1,1.0,759
Cuttack,10,4.1,5.1,639
Kolkata,11,4.3,6.6,763
Kolkata,12,1.3,8.2,923
Kolkata,13,2.8,4.0,182
Kolkata,14,4.6,6.8,882
Kolkata,15,4.5,6.4,896
Visakhapatnam,16,1.8,6.5,816
Visakhapatnam,17,4.7,8.4,711
Visakhapatnam,18,2.8,2.5,685
Visakhapatnam,19,3.7,1.3,665
Visakhapatnam,20,2.7,3.9,855
