CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.9,4.5,315
Bhubaneswar,2,4.5,3.5,548
Bhubaneswar,3,2.9,9.8,51
Bhubaneswar,4,2.5,2.7,515
Bhubaneswar,5,3.0,6.1,215
Cuttack,6,3.4,1.7,138
Cuttack,7,4.9,2.2,491
Cuttack,8,4.5,2.3,330
Cuttack,9,2.4,9.8,799
Cuttack,10,3.1,6.9,493
Kolkata,11,4.7,2.0,453
Kolkata,12,4.6,2.7,149
Kolkata,13,3.5,4.6,997
Kolkata,14,2.4,3.8,363
Kolkata,15,4.3,8.5,752
Visakhapatnam,16,1.2,4.6,188
Visakhapatnam,17,1.6,3.5,687
Visakhapatnam,18,4.6,8.0,651
Visakhapatnam,19,1.8,8.2,147
Visakhapatnam,20,1.9,7.9,608
