CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.5,4.1,973
Bhubaneswar,2,2.0,6.4,452
Bhubaneswar,3,2.2,9.0,774
Bhubaneswar,4,2.7,9.9,131
Bhubaneswar,5,2.9,1.8,26
Cuttack,6,2.5,9.4,347
Cuttack,7,4.3,8.6,158
Cuttack,8,2.0,7.5,394
Cuttack,9,1.4,8.5,101
Cuttack,10,3.3,3.6,978
Kolkata,11,2.5,3.3,176
Kolkata,12,3.0,4.4,202
Kolkata,13,4.6,5.6,428
Kolkata,14,3.1,4.2,345
Kolkata,15,3.4,2.2,742
Visakhapatnam,16,3.9,6.2,588
Visakhapatnam,17,1.7,2.6,301
Visakhapatnam,18,1.3,2.6,119
Visakhapatnam,19,4.0,4.3,896
Visakhapatnam,20,1.4,6.7,540
