CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.9,3.6,796
Bhubaneswar,2,1.3,1.7,680
Bhubaneswar,3,2.9,2.1,947
Bhubaneswar,4,1.2,2.7,380
Bhubaneswar,5,1.8,9.4,447
Cuttack,6,2.6,2.0,874
Cuttack,7,3.8,2.3,426
Cuttack,8,1.1,5.4,673
Cuttack,9,4.7,8.6,532
Cuttack,10,2.5,3.8,455
Kolkata,11,4.2,5.0,483
Kolkata,12,4.4,5.6,363
Kolkata,13,1.7,8.1,718
Kolkata,14,1.4,4.0,206
Kolkata,15,1.0,6.8,643
Visakhapatnam,16,2.9,2.3,585
Visakhapatnam,17,3.5,7.2,351
Visakhapatnam,18,2.6,2.0,244
Visakhapatnam,19,1.5,4.6,448
Visakhapatnam,20,3.0,1.7,498
