CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.1,1.9,393
Bhubaneswar,2,4.6,4.2,547
Bhubaneswar,3,2.9,6.6,219
Bhubaneswar,4,2.3,9.8,56
Bhubaneswar,5,3.0,2.2,998
Cuttack,6,2.4,2.7,353
Cuttack,7,3.6,3.9,149
Cuttack,8,2.9,7.3,895
Cuttack,9,3.0,4.4,992
Cuttack,10,2.0,4.3,520
Kolkata,11,1.1,2.2,654
Kolkata,12,1.7,9.6,88
Kolkata,13,2.7,6.6,610
Kolkata,14,4.9,3.1,820
Kolkata,15,4.3,1.2,825
Visakhapatnam,16,4.9,4.2,912
Visakhapatnam,17,3.2,9.3,941
Visakhapatnam,18,3.2,3.1,852
Visakhapatnam,19,3.0,8.2,342
Visakhapatnam,20,4.9,9.2,568
