CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.4,8.6,959
Bhubaneswar,2,2.9,8.6,984
Bhubaneswar,3,1.8,2.1,741
Bhubaneswar,4,1.4,2.5,552
Bhubaneswar,5,1.2,1.4,385
Cuttack,6,1.1,4.7,325
Cuttack,7,3.0,1.9,303
Cuttack,8,4.6,8.0,485
Cuttack,9,2.1,2.6,646
Cuttack,10,1.3,2.8,274
Kolkata,11,1.0,7.7,96
Kolkata,12,2.4,1.3,539
Kolkata,13,4.9,7.0,349
Kolkata,14,1.5,5.1,773
Kolkata,15,1.6,1.3,795
Visakhapatnam,16,3.2,7.7,424
Visakhapatnam,17,4.4,2.4,610
Visakhapatnam,18,2.5,5.0,391
Visakhapatnam,19,2.5,3.0,151
Visakhapatnam,20,3.0,2.3,552
