CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.5,5.1,133
Bhubaneswar,2,1.6,6.9,256
Bhubaneswar,3,2.1,9.6,814
Bhubaneswar,4,3.7,3.7,141
Bhubaneswar,5,4.9,7.3,517
Cuttack,6,1.5,8.3,631
Cuttack,7,1.6,6.7,254
Cuttack,8,2.3,5.6,639
Cuttack,9,3.6,9.0,176
Cuttack,10,2.6,3.0,819
Kolkata,11,3.4,7.9,704
Kolkata,12,2.2,8.2,96
Kolkata,13,2.5,8.7,118
Kolkata,14,3.2,3.4,794
Kolkata,15,4.3,6.5,779
Visakhapatnam,16,4.6,4.4,790
Visakhapatnam,17,4.5,8.2,424
Visakhapatnam,18,3.9,9.2,505
Visakhapatnam,19,1.0,5.0,978
Visakhapatnam,20,3.9,7.0,968
