CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.5,4.2,858
Bhubaneswar,2,2.5,3.0,215
Bhubaneswar,3,4.5,6.0,488
Bhubaneswar,4,4.7,3.1,450
Bhubaneswar,5,1.6,3.6,741
Cuttack,6,3.1,6.1,635
Cuttack,7,3.6,6.0,659
Cuttack,8,4.7,5.6,269
Cuttack,9,2.2,3.1,518
Cuttack,10,2.2,3.1,624
Kolkata,11,1.4,6.0,331
Kolkata,12,2.4,2.5,713
Kolkata,13,1.1,7.2,669
Kolkata,14,3.2,7.8,429
Kolkata,15,2.0,5.7,295
Visakhapatnam,16,3.7,5.2,755
Visakhapatnam,17,2.5,2.7,784
Visakhapatnam,18,1.3,5.3,604
Visakhapatnam,19,3.1,7.5,600
Visakhapatnam,20,2.2,1.7,515
