CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.5,7.5,290
Bhubaneswar,2,1.2,6.1,417
Bhubaneswar,3,4.0,9.4,798
Bhubaneswar,4,3.2,6.4,404
Bhubaneswar,5,3.1,5.7,545
Cuttack,6,3.3,5.1,555
Cuttack,7,1.6,9.9,770
Cuttack,8,4.8,7.3,182
Cuttack,9,3.6,9.5,170
Cuttack,10,3.5,1.2,760
Kolkata,11,2.4,9.4,94
Kolkata,12,1.9,1.4,826
Kolkata,13,4.3,7.4,466
Kolkata,14,3.2,7.7,31
Kolkata,15,2.6,4.6,842
Visakhapatnam,16,4.9,8.6,384
Visakhapatnam,17,3.1,6.4,843
Visakhapatnam,18,4.8,6.9,766
Visakhapatnam,19,3.6,1.8,699
Visakhapatnam,20,2.9,4.1,252
