CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.4,7.1,615
Bhubaneswar,2,2.8,8.7,883
Bhubaneswar,3,3.9,4.5,341
Bhubaneswar,4,1.3,7.0,226
Bhubaneswar,5,3.2,6.2,678
Cuttack,6,2.5,4.0,84
Cuttack,7,4.6,6.4,764
Cuttack,8,3.3,7.1,174
Cuttack,9,3.7,2.0,374
Cuttack,10,4.0,2.4,68
Kolkata,11,2.4,2.8,27
Kolkata,12,4.1,5.7,344
Kolkata,13,2.4,4.8,556
Kolkata,14,4.9,7.2,838
Kolkata,15,2.5,8.4,179
Visakhapatnam,16,4.8,1.7,315
Visakhapatnam,17,4.5,1.9,969
Visakhapatnam,18,2.3,8.2,485
Visakhapatnam,19,2.2,1.8,478
Visakhapatnam,20,4.9,1.3,137
