CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.7,5.8,749
Bhubaneswar,2,4.1,5.3,928
Bhubaneswar,3,3.5,5.8,867
Bhubaneswar,4,2.5,5.3,125
Bhubaneswar,5,3.3,7.5,392
Cuttack,6,1.7,2.7,869
Cuttack,7,2.9,1.7,832
Cuttack,8,2.6,6.6,888
Cuttack,9,4.9,5.9,336
Cuttack,10,3.2,2.7,153
Kolkata,11,2.7,7.2,303
Kolkata,12,3.8,3.6,852
Kolkata,13,1.4,6.3,749
Kolkata,14,1.8,2.2,648
Kolkata,15,3.8,3.4,743
Visakhapatnam,16,4.7,8.6,588
Visakhapatnam,17,2.2,8.3,493
Visakhapatnam,18,1.9,6.7,67
Visakhapatnam,19,1.2,7.5,182
Visakhapatnam,20,4.4,6.1,556
