source,destination,average_rating,cost,time,no of places,path
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.1125,535.0,17.449999999999996,8,Bhubaneswar Railway Station(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.114285714285715,410.0,15.14,7,Bhubaneswar Railway Station(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.1125,548.0,17.509999999999998,8,Bhubaneswar Railway Station(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.114285714285714,423.0,15.199999999999998,7,Bhubaneswar Railway Station(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.1125,580.0,17.679999999999996,8,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.1125,580.0,17.679999999999996,8,Bhubaneswar Railway Station(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.114285714285715,450.0,15.190000000000001,7,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.114285714285715,455.0,15.2,7,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.114285714285714,460.0,15.23,7,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),4.114285714285714,463.0,15.249999999999998,7,Bhubaneswar Railway Station(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar)
