source,destination,average_rating,cost,time,no of places,path
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.380000000000001,1088.0,21.29,5,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.380000000000001,1129.0,21.99,5,Visakhapatnam Railway Station(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.35,809.0,15.739999999999998,4,Visakhapatnam Railway Station(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.35,833.0,15.839999999999998,4,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.38,1330.0,24.57,5,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.380000000000001,1395.0,25.37,5,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.38,1484.0,25.57,5,Visakhapatnam Railway Station(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.380000000000001,1508.0,25.669999999999998,5,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.5,994.0,18.72,4,Visakhapatnam Railway Station(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.35,1143.0,19.5,4,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.5,1260.0,22.099999999999998,4,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.5,739.0,13.27,3,Visakhapatnam Railway Station(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.35,1385.0,22.78,4,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.3,823.0,13.25,3,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.5,895.0,15.93,3,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Araku Valley(Visakhapatnam),4.5,613.0,10.46,2,Visakhapatnam Railway Station(Visakhapatnam) -> Araku Valley(Visakhapatnam)

time taken: 31.948084354400635
